FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_DISEASE,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,Community Care & Assisted Living Act,Not Accredited,3.11,0.32,3.43,3.11,0.33,3.44,73,67,3,0,0,0,2.7,0.0,15.1,0.0,0.0,2.7,2.7,2.7,63.0,24.8,7.1,55.3,19.1,14.7,8.5,39.6,7.8,61.1,0.49,0.0,72.4,0.0,59.7,58.9,3.3,2.0,2.0,0.0,49.2770771,-123.0245958,,,0,True,False,0.0
Agassiz Seniors Community,936E0,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,2.6,0.26,2.87,3.03,0.33,3.36,74,68,0,0,1,0,1.4,0.0,4.1,0.0,0.0,1.4,0.0,4.1,85.0,59.3,59.3,2.8,5.8,34.2,37.4,60.5,11.6,45.8,0.56,4.2,94.2,0.0,15.3,3.1,0.0,2.0,5.0,0.0,49.2335015,-121.7681608,,,0,True,True,0.14864864864864866
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,Hospital Act,Accredited,2.58,0.22,2.8,2.64,0.21,2.85,156,58,49,0,1,0,0.6,0.6,6.4,0.0,0.0,3.2,0.0,1.9,86.0,71.4,64.3,4.0,15.3,31.0,20.2,61.9,3.0,79.3,0.55,19.7,0.2,0.6,24.8,22.8,0.1,7.0,9.0,0.0,49.2478819,-123.1579085,1.0,0.0,1,True,True,0.02564102564102564
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,Hospital Act,Unknown,2.96,0.38,3.34,2.96,0.38,3.34,148,116,16,0,3,2,1.4,0.7,10.8,0.0,0.0,0.0,2.0,0.0,86.0,63.6,63.5,4.1,17.3,24.7,20.1,50.9,5.8,47.5,0.58,13.1,53.0,6.7,38.2,19.6,5.0,2.0,2.0,0.0,49.2171373,-122.631898,,,0,True,True,0.0
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,Hospital Act,Accredited,2.79,0.27,3.06,2.79,0.27,3.06,156,17,13,36,3,0,0.0,0.0,3.2,0.0,0.0,0.6,1.3,3.8,82.0,54.0,49.8,7.5,25.7,44.1,32.3,47.7,6.3,52.6,0.64,23.5,0.6,40.7,39.7,13.3,10.8,4.0,1.0,0.0,49.2611939,-123.1187682,,,0,True,True,0.0
Bastion Place,9C094,Interior Health,HA,700 11 St. NE,Salmon Arm,V1E4P9,Hospital Act,Accredited,2.84,0.32,3.16,3.09,0.59,3.68,80,69,2,3,0,0,0.0,2.5,7.5,0.0,0.0,0.0,3.8,1.3,82.0,67.6,46.3,9.4,30.1,39.1,28.9,53.8,4.5,42.5,0.62,18.4,0.4,4.1,55.3,23.9,10.7,0.0,0.0,0.0,50.7378252,-119.2720293,,,0,True,True,0.0
Belvedere Care Centre,9BG96,Fraser Health,PFP,739 Alderson Avenue,Coquitlam,V3K7B3,Hospital Act,Unknown,2.49,0.29,2.78,2.66,0.29,2.95,123,146,2,0,5,1,0.0,0.8,5.7,0.0,0.0,0.0,2.4,0.0,88.0,75.7,69.6,0.4,22.4,33.3,29.4,62.5,8.8,26.5,0.58,8.1,75.0,0.9,45.8,12.1,3.3,4.0,2.0,1.0,49.24008325,-122.87856982297993,,,0,True,True,0.5447154471544715
Bevan Village,923E0,Fraser Health,PFP,33386 Bevan Ave.,Abbotsford,V2S5G6,Community Care & Assisted Living Act,Not Accredited,2.43,0.31,2.73,2.64,0.31,2.95,122,105,5,0,1,1,0.0,0.0,4.9,0.0,0.0,0.0,2.5,0.8,88.0,65.5,73.4,1.4,40.3,41.5,11.9,71.6,15.3,26.1,0.6,2.3,0.0,0.0,56.3,29.4,8.7,1.0,3.0,0.0,49.0413325,-122.2992395,,,0,True,True,0.819672131147541
Blenheim Lodge,999BD,Vancouver Coastal Health,PNP,3263 Blenheim Street,Vancouver,V6L2X7,Community Care & Assisted Living Act,Not Accredited,2.57,0.18,2.75,2.66,0.18,2.84,100,65,17,0,2,1,0.0,1.0,24.0,0.0,0.0,3.0,0.0,9.0,88.0,83.5,67.0,0.0,22.5,46.2,44.9,69.5,4.7,59.3,0.6,0.0,89.6,0.0,45.7,17.0,2.4,6.0,4.0,0.0,49.2572761,-123.1791189,,,0,True,True,0.06
Braddan Private Hospital,91997,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,Hospital Act,Not Accredited,2.69,0.12,2.81,2.72,0.12,2.84,62,22,20,0,0,0,0.0,1.6,4.8,0.0,1.6,3.2,0.0,0.0,85.0,78.7,63.6,1.6,13.3,26.1,17.8,54.4,3.3,61.0,0.54,0.0,71.8,0.0,36.9,8.0,14.7,2.0,0.0,0.0,49.2697848,-123.1610416529879,,,0,True,True,0.03225806451612903
Bradley Center,9A6JG,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,Hospital Act,Unknown,3.02,0.23,3.25,3.02,0.23,3.25,90,8,1,20,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,87.0,69.3,69.5,5.2,19.0,25.2,19.7,48.0,4.1,46.9,0.59,0.3,41.8,0.7,51.4,25.4,9.0,1.0,5.0,1.0,49.16730645,-121.96485716719084,,,0,True,False,0.0
Brandt's Creek Mews,937BA,Interior Health,PFP,2081 Cross Rd,Kelowna,V1V2G2,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,3.0,0.35,3.35,102,102,0,0,0,0,2.0,0.0,10.8,0.0,1.0,0.0,0.0,3.9,84.0,70.5,50.8,4.7,57.3,26.1,33.8,81.3,24.9,48.0,0.59,17.7,59.0,15.3,59.7,6.8,10.6,1.0,0.0,0.0,49.9200841,-119.4354247,,,0,True,True,0.0196078431372549
Broadway Pentecostal Lodge,9A9CE,Vancouver Coastal Health,PNP,1377 Lamey's Mill Rd,Vancouver,V6H3S9,Community Care & Assisted Living Act,Not Accredited,2.64,0.31,2.95,2.78,0.31,3.09,114,114,0,0,3,2,0.0,0.0,12.3,0.0,0.0,7.0,0.0,1.8,82.0,44.5,40.1,5.5,25.4,28.2,28.9,65.3,5.9,45.1,0.53,0.4,64.6,0.0,39.7,38.0,7.1,6.0,8.0,0.0,49.2674372,-123.1343725,,,0,True,False,0.0
Brocklehurst Gemstone Care Centre,93E9A,Interior Health,PFP,1955 Tranquille Road,Kamloops,V2B3M4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.97,0.35,3.32,130,126,4,0,0,0,0.0,0.0,23.8,0.0,0.8,0.0,4.6,2.3,85.0,68.8,58.4,2.8,25.7,28.5,18.8,68.1,9.3,47.5,0.55,0.0,0.4,0.0,54.7,28.0,10.3,1.0,2.0,0.0,50.6997303,-120.3999925,,,0,True,True,0.038461538461538464
Brookhaven Care Centre,917I9,Interior Health,HA,1775 Shannon Lake Rd,West Kelowna,V4T2N7,Hospital Act,Accredited,2.82,0.34,3.16,3.03,0.39,3.42,84,0,0,0,0,0,1.2,1.2,19.0,0.0,0.0,0.0,3.6,2.4,83.0,56.6,55.2,7.9,28.0,36.0,32.5,72.8,10.2,54.8,0.59,8.1,67.5,51.6,63.7,26.8,0.0,0.0,0.0,0.0,49.8648276,-119.5896005,,,0,True,True,0.0
Brookside Lodge,937F0,Fraser Health,PFP,19550 Fraser Highway,Surrey,V3S6K5,Community Care & Assisted Living Act,Unknown,2.66,0.23,2.89,2.97,0.39,3.36,103,93,5,0,0,0,1.0,1.0,7.8,0.0,0.0,2.9,0.0,1.0,80.0,59.5,47.1,15.1,11.5,18.4,19.1,66.5,8.9,41.9,0.6,12.4,53.8,1.7,54.3,21.4,4.2,8.0,13.0,0.0,49.114097,-122.681031,,,0,True,True,0.13592233009708737
Buchanan Lodge,9A500,Fraser Health,PNP,409 Blair Ave,New Westminster,V3L4A4,Community Care & Assisted Living Act,Unknown,2.71,0.35,3.06,2.76,0.36,3.12,112,104,4,0,1,0,2.7,1.8,8.9,0.0,0.0,1.8,0.9,0.9,86.0,69.2,60.0,3.3,13.7,39.9,26.7,67.0,8.4,62.0,0.57,8.4,2.3,0.2,39.6,19.4,12.6,3.0,3.0,1.0,49.22877315,-122.89808629846813,,,0,True,True,0.0
Capilano Care Centre,9C414,Vancouver Coastal Health,PFP,525 Clyde Avenue,West Vancouver,V7T1C4,Hospital Act & Community Care & Assisted Living Act,Accredited,2.58,0.2,2.78,2.76,0.2,2.96,205,76,48,11,2,0,0.5,0.0,18.5,0.0,0.0,2.0,1.5,14.6,84.0,69.0,54.6,4.0,46.6,19.0,32.8,74.4,9.1,45.7,0.56,0.3,29.6,0.3,59.6,19.0,0.7,3.0,3.0,0.0,49.329066,-123.13,,,0,True,True,0.0
CareLife Fleetwood,9A5AD,Fraser Health,HA,8265 159th Street,Surrey,V4N5T5,Hospital Act,Unknown,3.78,0.4,4.19,3.78,0.4,4.18,191,167,12,0,1,0,0.5,0.0,1.6,0.0,0.0,0.5,0.5,0.0,80.0,60.7,47.5,16.3,12.9,43.5,29.6,37.5,7.8,57.9,0.67,26.6,47.6,21.7,43.1,22.3,4.6,1.0,0.0,0.0,49.1527,-122.7822,,,0,True,False,0.0
Carlton Gardens Care Centre,99FE5,Fraser Health,PFP,4108 Norfolk Street,Burnaby,V5G0B4,Community Care & Assisted Living Act,Accredited,2.53,0.29,2.82,3.0,0.36,3.36,128,120,4,0,0,0,1.6,0.8,9.4,0.0,0.0,0.8,0.0,1.6,84.0,67.6,53.5,1.8,7.5,26.6,25.5,70.7,21.2,69.2,0.55,1.9,4.0,0.2,47.5,27.3,4.6,3.0,6.0,1.0,49.2550436,-123.0128497,,,0,True,True,0.0859375
Cartier House Seniors Community,992EJ,Fraser Health,PFP,1419 Cartier St,Coquitlam,V3K2C6,Community Care & Assisted Living Act,Unknown,2.43,0.3,2.73,2.67,0.3,2.97,78,30,24,0,1,1,2.6,1.3,10.3,0.0,0.0,0.0,0.0,0.0,88.0,83.1,68.8,1.6,40.2,24.8,26.7,74.3,10.6,51.1,0.59,4.2,27.3,0.6,49.2,23.7,8.3,2.0,5.0,0.0,49.28317715,-122.78734899022074,,,0,True,True,0.0
Castleview Care Centre,9C017,Interior Health,PFP,2300 14th Ave.,Castlegar,V1N4A6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3.0,0.35,3.35,61,61,0,0,0,0,1.6,0.0,11.5,0.0,0.0,1.6,1.6,1.6,85.0,68.2,57.1,2.5,39.7,15.4,18.4,87.5,5.1,16.2,0.57,76.5,57.4,0.0,59.6,10.6,0.0,1.0,2.0,0.0,49.2881065,-117.6624447,,,0,True,True,0.26229508196721313
Cedarview Lodge,9AF9E,Vancouver Coastal Health,HA,1200 Cedar Village Close,North Vancouver,V7J3P3,Community Care & Assisted Living Act,Accredited,2.8,0.24,3.04,2.8,0.24,3.04,89,89,0,0,0,0,0.0,0.0,6.7,0.0,0.0,2.2,0.0,0.0,84.0,64.2,54.1,2.3,22.4,33.3,45.8,81.6,7.5,62.3,0.54,3.4,54.2,2.2,68.2,49.7,13.5,0.0,0.0,0.0,49.326053,-123.04,,,0,True,True,0.0
