FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
Aberdeen Hospital,9A616,Vancouver Island Health,HA,1450 Hillside Ave.,Victoria,V8T2B7,Hospital Act,Accredited,100,,69.0,51.6,21.7,43.3,844.0,24.3,45.6,16.0,6.8,0.5,4.0,16.0,0.77,9.2,51.5,45.1,48.1,22.7,3.9,1.0,48.4421967,-123.34324160465658,0.0,0.0,0,1,1,1,1,1,0,7.000000000000001,4.0,0.0,0.0,2.0
Acacia Ty Mawr,99549,Vancouver Island Health,PFP,2655 E Shawnigan Lake Rd,Shawnigan Lake,V0R2W0,Community Care & Assisted Living Act,Accredited,35,0.0,84.0,69.8,52.2,2.5,862.0,10.4,30.6,38.9,95.1,10.4,2.0,65.3,0.56,0.0,0.0,0.0,54.2,37.8,2.0,2.0,48.64987100000001,-123.62358,0.0,0.0,0,1,0,1,0,1,0,2.857142857142857,0.0,17.2,0.0,2.857142857142857
Acropolis Manor,9A8ID,Northern Health,HA,1325 Summit Avenue,Prince Rupert,V8J4C1,Community Care & Assisted Living Act,Accredited,61,1.6,83.0,59.2,50.7,4.4,2.0,10.8,36.8,35.4,61.3,19.8,1.5,80.7,0.58,0.5,25.9,0.9,37.7,25.1,8.8,4.0,54.30405500000001,-130.33,0.0,0.0,0,1,0,1,1,1,0,1.639344262295082,1.639344262295082,26.1,0.0,13.114754098360656
Adanac Park Lodge,919G3,Vancouver Coastal Health,PNP,851 Boundary Road,Vancouver,V5K4T2,Community Care & Assisted Living Act,Not Accredited,73,2.7,63.0,24.8,7.1,55.3,,19.1,14.7,8.5,39.6,7.8,2.4,61.1,0.49,0.0,72.4,0.0,59.7,58.9,3.3,2.0,49.2770771,-123.0245958,0.0,0.0,0,1,0,1,1,0,0,0.0,0.0,23.2,0.0,2.73972602739726
Agassiz Seniors Community,936E0,Fraser Health,PFP,1525 MacKay Crescent,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,74,1.4,85.0,59.3,59.3,2.8,,5.8,34.2,37.4,60.5,11.6,2.7,45.8,0.56,4.2,94.2,0.0,15.3,3.1,0.0,2.0,49.2335015,-121.7681608,0.0,0.0,0,0,0,0,1,1,1,1.3513513513513513,0.0,9.6,0.0,6.756756756756757
Arbutus Care Centre,9B814,Vancouver Coastal Health,PFP,4505 Valley Drive,Vancouver,V6L2L1,Hospital Act,Accredited,156,0.6,86.0,71.4,64.3,4.0,914.0,15.3,31.0,20.2,61.9,3.0,1.5,79.3,0.55,19.7,0.2,0.6,24.8,22.8,0.1,7.0,49.2478819,-123.1579085,1.0,0.0,1,1,0,1,1,1,1,0.641025641025641,0.0,12.1,0.0,5.769230769230769
Arrowsmith Lodge,995A3,Vancouver Island Health,PNP,266 Moilliet St,Parksville,V9P1M9,Community Care & Assisted Living Act,Accredited,75,0.0,84.0,56.6,54.4,4.1,,31.1,33.8,40.1,79.8,9.6,2.2,56.8,0.61,11.6,0.0,6.3,60.9,21.4,14.9,3.0,49.316385,-124.32359,0.0,0.0,0,0,0,0,1,1,0,8.0,5.333333333333334,21.3,0.0,5.333333333333334
Ayre Manor,9357A,Vancouver Island Health,PNP,6764 Ayre Rd,Sooke,V9Z1K1,Community Care & Assisted Living Act,Accredited,33,3.0,82.0,59.7,38.0,6.2,784.0,37.1,41.1,30.6,75.0,14.5,2.4,53.2,0.59,0.0,0.0,0.0,76.6,47.9,24.2,3.0,48.378338,-123.72716,0.0,0.0,0,0,0,0,1,1,1,0.0,0.0,6.0,0.0,9.090909090909092
Baillie House,9A6G9,Fraser Health,HA,11666 Laity St,Maple Ridge,V2X7G5,Hospital Act,Unknown,148,1.4,86.0,63.6,63.5,4.1,,17.3,24.7,20.1,50.9,5.8,2.8,47.5,0.58,13.1,53.0,6.7,38.2,19.6,5.0,2.0,49.2171373,-122.631898,0.0,0.0,0,1,0,1,1,1,0,2.027027027027027,1.3513513513513513,13.5,0.0,1.3513513513513513
Banfield Pavilion - Vancouver General Hospital,9A52F,Vancouver Coastal Health,HA,2785 Ash Street,Vancouver,V5Z1M9,Hospital Act,Accredited,156,0.0,82.0,54.0,49.8,7.5,916.0,25.7,44.1,32.3,47.7,6.3,2.6,52.6,0.64,23.5,0.6,40.7,39.7,13.3,10.8,4.0,49.2611939,-123.1187682,0.0,0.0,0,1,1,1,1,1,0,1.9230769230769231,0.0,8.9,0.0,0.641025641025641
